Men's Single sculls;Rowing
Men's Mountain Biking, Cross-Country;Mountain biking
Men's 200m breaststroke;Swimming
Women's Foil team;Fencing
Men's 400m freestyle;Swimming
Women's Team Pursuit;Speed skating
Men's Freestyle Wrestling, Featherweight -60kg;Freestyle wrestling
Men's Freestyle Wrestling, Lightweight 61.2-65.8kg;Freestyle wrestling
300m military rifle, prone;Shooting sports
Men's Double American Round;Archery
Men's Greco-Roman Featherweight;Greco-Roman wrestling
Men's 1 Mile Freestyle;Swimming
Standing High Jump;Track and field athletics
Men's boxing welterweight 62-67kg;Boxing
Men's Foil Team;Fencing
Women's Track Cycling, Team Sprint;Track cycling
Men's Track Cycling, 10 km;Track cycling
Men's 25m small bore rifle;Shooting sports
Men's Boxing, Lightweight 58-62kg;Boxing
Men's Athletics, Cross-Country;Track and field athletics
Olympic trap;Shooting sports
Men's Team Relay;Nordic combined
Men's Freestyle Wrestling, Heavyweight 84-96kg;Freestyle wrestling
Men's Road Cycling, Individual Time Trial;Road cycling
49er - Skiff;Sailing
Men's Judo, 71-78kg (half middleweight);Judo
Men's 10km Pursuit;Cross-country skiing
Men's Cross Country, 10km;Cross-country skiing
Team figure skating;Figure skating
Men's Freestyle Wrestling, Middleweight 73-79 kg;Freestyle wrestling
Men's Freestyle Wrestling, Light Heavyweight 79-87kg;Freestyle wrestling
Men's Boxing, Bantamweight 47.6-52.2 kg;Boxing
Men's football;Football
Men's Double sculls;Rowing
Men's Freestyle Wrestling, Featherweight 55 - 60 kg;Freestyle wrestling
Men's Freestyle Wrestling, Lightweight 63-70kg;Freestyle wrestling
Men's Athletics, 110m hurdles;Track and field athletics
Women's Judo, 70 - 78kg (half-heavyweight);Judo
Men's Athletics, 4x100m relay;Track and field athletics
Women's Track cycling, points race;Track cycling
Men's Individual Sprint;Cross-country skiing
Women's Snowboard Cross;Snowboarding
Men's Freestyle Wrestling, Bantamweight -56kg;Freestyle wrestling
Women's Floor exercises;Artistic gymnastics
Men's 400m individual medley;Swimming
Men's 100m backstroke;Swimming
Men's Weightlifting, Heavyweight +82.5;Weightlifting
Men's FreestyleWrestling, Light Flyweight 47.6kg;Freestyle wrestling
Women's 4x100m medley relay;Swimming
Women's 100m freestyle;Swimming
Men's 50m rifle prone;Shooting sports
Men's 50 km, Mass start;Cross-country skiing
Women's Super-G;Alpine skiing
Women's Track Cycling, Keirin;Track cycling
Men's Table tennis, team;Table tennis
Women's 50m freestyle;Swimming
Men's Rings;Artistic gymnastics
Women's Pole vault;Track and field athletics
Men's Discus throw;Track and field athletics
Women's Singles;Figure skating
Women's Athletics, Marathon;Track and field athletics
Men's Boxing, Super Heavyweight +91kg;Boxing
Men's Judo, 73 - 81kg (half-middleweight);Judo
Women's Foil individual;Fencing
Men's Freestyle Wrestling, Bantamweight 55kg;Freestyle wrestling
Women's 10 km;Cross-country skiing
Men's Parallel Giant Slalom;Snowboarding
Women's 500 m;Speed skating
Women's Track Cycling, Individual Pursuit;Track cycling
Eventing, individual;Eventing
Women's Boxing, Middleweight 75kg;Boxing
Women's Judo, 66-72 kg (Half Heavyweight);Judo
Men's 220yds Freestyle;Swimming
12' Dinghy;Sailing
Men's Greco-Roman Wrestling, Featherweight 57-62 kg;Greco-Roman wrestling
Men's Au cordon doré 33m;Archery
Men's Golf;Golf
Snowboard Cross;Snowboarding
1200m Freestyle Men;Swimming
Men's Weightlifting, Flyweight -54kg;Weightlifting
Men's Athletics, 200m Hurdles;Track and field athletics
Men's Greco Roman Wrestling, Middleweight 76-85 kg;Greco-Roman wrestling
Men's Greco-Roman Wrestling, Lightweight 63-69 kg;Greco-Roman wrestling
Men's Snowboarding Cross;Snowboarding
Two-Man Bobsleigh;Bobsleigh
Women's 15 km Pursuit;Cross-country skiing
Running Deer, Double Shot;Shooting sports
Men's Track Cycling, 5km;Track cycling
Women's Ice Hockey;Ice Hockey
Women'sTrack Cycling,  Time Trial;Track cycling
Men's Freestyle Wrestling, Middleweight 74-84kg;Freestyle wrestling
Men's Greco-Roman Wrestling, Light Flyweight  -48kg;Greco-Roman wrestling
Men's Skeet;Shooting sports
Women's 200m breaststroke;Swimming
Men's Foil individual;Fencing
Men's Boxing, Lightweight 57 - 60kg;Boxing
Women's 200m individual medley;Swimming
Women's Boxing, Lightweight 60kg;Boxing
Women's Tennis, doubles;Tennis
Women's 5000 m;Speed skating
Men's Individual (LH/10km);Nordic combined
Women's Volleyball;Volleyball
Men's 10m air pistol;Shooting sports
