name,discipline,games
Athletics at the 1984 Summer Olympics - Women's Discus Throw,Women's Discus throw,1984 Summer Olympics
Athletics at the 1924 Summer Olympics - Men's javelin throw,Men's Javelin throw,1924 Summer Olympics
Rowing at the 2004 Summer Olympics - Women's Double Sculls,,2004 Summer Olympics
Boxing at the 2008 Summer Olympics - Lightweight,Men's Boxing; Lightweight 57 - 60kg,2008 Summer Olympics
Equestrian at the 2008 Summer Olympics - Team dressage,Team Dressage,2008 Summer Olympics
Shooting at the 2008 Summer Olympics - Men's Trap,Men's Trap,2008 Summer Olympics
Swimming at the 2008 Summer Olympics - Women's 400 metre freestyle,Women's 400m freestyle,2008 Summer Olympics
Weightlifting at the 1996 Summer Olympics - Men's Middleweight 70-76 kg,Men's Weightlifting; Middleweight 70-76kg,1996 Summer Olympics
Weightlifting at the 1996 Summer Olympics - Men's Light Weightlifting 76- 83 kg,Men's Weightlifting; Light Heavyweight 76- 83 kg,1996 Summer Olympics
Wrestling at the 2000 Summer Olympics - Men's Freestyle Welterweight,Men's Freestyle Wrestling; Welterweight 69-76 kg,2000 Summer Olympics
Swimming at the 1924 Summer Olympics - Women's 400 metre freestyle,Women's 400m freestyle,1924 Summer Olympics
Weightlifting at the 1920 Summer Olympics - Men's Heavyweight +82.5 kg,Men's Weightlifting; Heavyweight +82.5,1920 Summer Olympics
Wrestling at the 1980 Summer Olympics - Men's Freestyle Featherweight,Men's Freestyle Wrestling; Featherweight 57-62kg,1980 Summer Olympics
Swimming at the 2008 Summer Olympics - Men's 4 x 200 metre freestyle relay,Men's 4x200m freestyle relay,2008 Summer Olympics
Athletics at the 2004 Summer Olympics - Women's 4 x 400 metres relay,,2004 Summer Olympics
Swimming at the 1980 Summer Olympics - Men's 4 x 100 metre medley relay,,1980 Summer Olympics
Diving at the 1956 Summer Olympics - Men's 10 metre platform,Men's 10 metre platform,1956 Summer Olympics
Archery at the 2004 Summer Olympics - Men's team,,2004 Summer Olympics
Athletics at the 1956 Summer Olympics - Women's shot put,Women's Shot put,1956 Summer Olympics
Cycling at the 1952 Summer Olympics - Men's team road race,,1952 Summer Olympics
Gymnastics at the 1912 Summer Olympics - Men's artistic individual all-around,Men's Gymnastics; individual all-round,1912 Summer Olympics
Swimming at the 1996 Summer Olympics - Women's 200 metre individual medley,Women's 200m individual medley,1996 Summer Olympics
Athletics at the 1956 Summer Olympics - Men's 50 km walk,Men's 50km walk,1956 Summer Olympics
Athletics at the 1988 Summer Olympics - Women's 3000 metres,Women's Athletics; 3000m,1988 Summer Olympics
Swimming at the 2000 Summer Olympics - Women's 800 metre freestyle,Women's 800m freestyle,2000 Summer Olympics
Athletics at the 1904 Summer Olympics - Men's 800 metres,Men's Athletics; 800m,1904 Summer Olympics
Water polo at the 1992 Summer Olympics,,
Swimming at the 1912 Summer Olympics - Men's 400 metre breaststroke,Men's 400m Breaststroke,1912 Summer Olympics
Athletics at the 1992 Summer Olympics - Men's javelin throw,Men's Javelin throw,1992 Summer Olympics
Shooting at the 2000 Summer Olympics - Men's 50 metre rifle; prone,Men's 50m rifle prone,2000 Summer Olympics
Cycling at the 2008 Summer Olympics - Men's individual pursuit,Men's Track cycling; Individual Pursuit,2008 Summer Olympics
Canoeing at the 1976 Summer Olympics - Men's K-1 1000 metres,Men's K-1 1000m (kayak single),1976 Summer Olympics
Fencing at the 2008 Summer Olympics - Men's Foil; Individual,Men's Foil individual,2008 Summer Olympics
Speed Skating at the 1928 Winter Olympics - Men's 5000m,Speed skating - Men's 5000m,1928 Winter Olympics
Swimming at the 1924 Summer Olympics - Women's 4 x 100 metre freestyle relay,,
Rowing at the 2004 Summer Olympics - Women's Eight,,2004 Summer Olympics
Swimming at the 1980 Summer Olympics - Women's 200 metre freestyle,Women's 200m freestyle,1980 Summer Olympics
Wrestling at the 1996 Summer Olympics - Men's freestyle Light Flyweight,Men's Freestyle Wrestling; 48kg,1996 Summer Olympics
Archery at the 2000 Summer Olympics - Women's team,,2000 Summer Olympics
Swimming at the 1980 Summer Olympics - Men's 100 metre butterfly,Men's 100m butterfly,1980 Summer Olympics
Athletics at the 1952 Summer Olympics - Men's triple jump,Men's Triple jump,1952 Summer Olympics
Swimming at the 1932 Summer Olympics - Women's 200 metre breaststroke,Women's 200m breaststroke,1932 Summer Olympics
Speed Skating at the 1936 Winter Olympics - Men's 500m,Men's 500m,1936 Winter Olympics
Shooting at the 1920 Summer Olympics - Men's 50 metre small-bore rifle,50m small bore rifle,1920 Summer Olympics
Fencing at the 2008 Summer Olympics - Women's team sabre,Women's Sabre team,2008 Summer Olympics
Rowing at the 2004 Summer Olympics - Men's Single Sculls,Men's Single sculls,2004 Summer Olympics
Wrestling at the 1984 Summer Olympics - Men's freestyle Flyweight,Men's Freestyle Wrestling; flyweight 48-52 kg,1984 Summer Olympics
Cycling at the 2008 Summer Olympics - Men's Individual Time Trial,Men's Road Cycling; Individual Time Trial,2008 Summer Olympics
Athletics at the 1988 Summer Olympics - Women's heptathlon,Women's Heptathlon,1988 Summer Olympics
Swimming at the 2008 Summer Olympics - Men's 400 metre individual medley,Men's 400m individual medley,2008 Summer Olympics
Gymnastics at the 1924 Summer Olympics - Men's parallel bars,Men's Parallel bars,1924 Summer Olympics
Bobsleigh at the 1952 Winter Olympics - Four-man,,1952 Winter Olympics
Diving at the 2008 Summer Olympics - Women's Synchronised 10m Platform,Women's synchronized 10 metre platform,2008 Summer Olympics
Sailing at the 2012 Summer Olympics – Women's Laser Radial class,Women's Laser Radial - One Person Dinghy,2012 Summer Olympics
Fencing at the 2012 Summer Olympics - Women's team épée,Women's Épée team,2012 Summer Olympics
Athletics at the 2012 Summer Olympics – Men's discus throw,Men's Discus throw,2012 Summer Olympics
Weightlifting at the 2012 Summer Olympics – Women's 58 kg,Women's Weightlifting; 58kg,2012 Summer Olympics
Athletics at the 2012 Summer Olympics – Women's 10;000 metres,Women's Athletics; 10000m,2012 Summer Olympics
Fencing at the 2012 Summer Olympics - Men's team sabre,Men's Sabre team,2012 Summer Olympics
Gymnastics at the 2012 Summer Olympics – Women's rhythmic group all-around,Women's Rhythmic gymnastics; group competition,2012 Summer Olympics
Shooting at the 1964 summer Olympics - Men's 50 metre rifle; three positions,Men's 50m rifle 3 positions,1964 Summer Olympics
Cycling at the 2000 Summer Olympics - Women's time trial,Women'sTrack Cycling;  Time Trial,2000 Summer Olympics
Athletics at the 1972 Summer Olympics - Women's Discus Throw,Women's Discus throw,1972 Summer Olympics
Gymnastics at the 1976 Summer Olympics – Women's Uneven Bars,Women's Uneven bars,1976 Summer Olympics
Gymnastics at the 1972 Summer Olympics – Women's balance beam,Women's Balance Beam,1972 Summer Olympics
Biathlon at the 1998 Winter Olympics - Men's 20 km Individual,Men's 20 km Individual,1998 Winter Olympics
Judo at the 1984 Summer Olympics - Men's Extra Lightweight (-60kg),Men's Judo; - 60 kg Men (extra lightweight),1984 Summer Olympics
Cross Country Skiing at the 1960 Winter Olympics - Women's 10km,Women's 10 km,1960 Winter Olympics
Wrestling at the 1952 Summer Olympics - Men's Greco-Roman Light Heavyweight,Men's Greco-Roman Wrestling; Light Heavyweight 79-87kg,1952 Summer Olympics
Alpine Skiing at the 1994 Winter Olympics - Women's Downhill,Women's Downhill,1994 Winter Olympics
Boxing at the 1976 Summer Olympics - Featherweight,Men's Boxing; Featherweight 54 - 57 kg,1976 Summer Olympics
Cross Country Skiing at the 1992 Winter Olympics - Men's 15km Pursuit,Men's 15km Pursuit,1992 Winter Olympics
Swimming at the 1960 Summer Olympics – Men's 4 x 100 metre medley relay,,
Short Track Speed Skating at the 2002 Winter Olympics - Women's 3000 m relay,,
Gymnastics at the 1992 Summer Olympics – Women's Vault,Women's Vault,1992 Summer Olympics
Shooting at the 1972 Summer Olympics - Men's Skeet,Olympic skeet,1972 Summer Olympics
Boxing at the 1972 Summer Olympics - Heavyweight,Men's Boxing; Heavyweight +81,1972 Summer Olympics
Shooting at the 2004 Summer Olympics - Men's 10 metre air pistol,Men's 10m air pistol,2004 Summer Olympics
Modern Pentathlon at the 1984 Summer Olympics - Men's Individual,Men's Modern pentathlon,1984 Summer Olympics
Athletics at the 2000 Summer Olympics – Women's shot put,Women's Shot put,2000 Summer Olympics
Speed skating at the 2010 Winter Olympics – Women's 500 metres,Women's 500 m,2010 Winter Olympics
Rowing at the 1984 Summer Olympics – Men's coxed fours,Men's Four with coxswain,1984 Summer Olympics
Alpine Skiing at the 1994 Winter Olympics - Women's Giant Slalom,Women's Giant Slalom,1994 Winter Olympics
Athletics at the 1968 Summer Olympics - Women's Long Jump,Women's Long jump,1968 Summer Olympics
Alpine Skiing at the 1972 Winter Olympics - Men's Giant Slalom,Alpine skiing - Men's giant slalom,1972 Winter Olympics
Wrestling at the 1960 Summer Olympics - Men's Freestyle Heavyweight,Men's Freestyle Wrestling; Heavyweight +87,1960 Summer Olympics
Cross Country Skiing at the 1998 Winter Olympics - Women's 30km Freestyle,Women's 30km Cross-country Freestyle,1998 Winter Olympics
Swimming at the 1948 Summer Olympics - Men's 100 metre backstroke,Men's 100m backstroke,1948 Summer Olympics
Biathlon at the 2006 Winter Olympics – Women's mass start,Women's 12.5 km Mass Start,2006 Winter Olympics
Gymnastics at the 1976 Summer Olympics – Women's artistic team all-around,,
Ski Jumping at the 2002 Winter Olympics - Men's K120,,
Equestrian at the 1924 Summer Olympics – Team jumping,,
Gymnastics at the 1968 Summer Olympics - Men's Floor Exercises,Men's Floor exercises,1968 Summer Olympics
Wrestling at the 1960 Summer Olympics - Freestyle Welterweight,Men's Freestyle Wrestling; 67-73kg,1960 Summer Olympics
Swimming at the 2000 Summer Olympics - Women's 4x100 metre freestyle relay,Women's 4x100m freestyle relay,2000 Summer Olympics
Athletics at the 1912 Summer Olympics - Men's 10000 metres,Men's Athletics; 10000m,1912 Summer Olympics
Diving at the 1984 Summer Olympics - Men's 3 metre springboard,Men's 3 metre springboard,1984 Summer Olympics
Athletics at the 1956 Summer Olympics - Women's Discus Throw,Women's Discus throw,1956 Summer Olympics
