country;event;medal;medalist;olympics
Germany;Cycling;1912 Summer Olympics;Men's individual time trial;;Georg Warsow;1912 Summer Olympics
Russia;Cross-country skiing;2010 Winter Olympics;Men's team sprint;Bronze medal;Nikolay Morilov;Alexey Petukhov;2010 Winter Olympics
Kazakhstan;Biathlon;2010 Winter Olympics;Women's individual;Silver medal;Elena Khrustaleva;2010 Winter Olympics
Denmark;Sailing;1956 Summer Olympics;Finn;Gold medal;Paul Bert Elvstrøm;1956 Summer Olympics
Greece;Wrestling;1984 Summer Olympics;Men's Greco-Roman 57 kg;Bronze medal;Kharalambos Kholidis;1984 Summer Olympics
Austria;Alpine Skiing;1956 Winter Olympics;Men's downhill;Gold medal;Toni Sailer;1956 Winter Olympics
Turkey;Wrestling;1956 Summer Olympics;Freestyle Welterweight;Silver medal;Ibrahim Zengin;1956 Summer Olympics
Denmark;Canoeing;1984 Summer Olympics;Men's C-1 1000 metres;Bronze medal;Henning Lynge Jakobsen;1984 Summer Olympics
Romania;Canoeing;1964 Summer Olympics;Men's K-1 1000 metres;Bronze medal;Aurel Vernescu;1964 Summer Olympics
New Zealand;Canoeing;1984 Summer Olympics;Men's K-1 1000 metres;Gold medal;Alan Thompson;1984 Summer Olympics
United States of America;Athletics;1924 Summer Olympics;Men's marathon;Bronze medal;Clarence DeMar;1924 Summer Olympics
Iran;Wrestling;1964 summer Olympics;Men's Freestyle Welterweight;Bronze medal;Mohammad Ali Sanatkaran;1964 Summer Olympics
Uruguay;Boxing;1964 Summer Olympics;Bantamweight;Bronze medal;Washington Rodríguez;1964 Summer Olympics
Japan;Judo;1972 Summer Olympics;Men's Half Middleweight (70kg);Gold medal;Toyokazu Nomura;1972 Summer Olympics
Hungary;Wrestling;1980 Summer Olympics;Men's Greco-Roman Light Heavyweight;Gold medal;Norbert Növényi;1980 Summer Olympics
Bulgaria;Weightlifting;2000 Summer Olympics;Men's Lightweight 62-69 kg;Silver medal;Georgi Markov;2000 Summer Olympics
Sweden;Athletics;1948 Summer Olympics;Men's 10 kilometre walk;Gold medal;John Mikaelsson;1948 Summer Olympics
Italy;Boxing;2004 Summer Olympics;Super Heavyweight;Bronze medal;Roberto Cammarelle;2004 Summer Olympics
Australia;Swimming;2004 Summer Olympics;Men's 1500 metre freestyle;Gold medal;Grant Hackett;2004 Summer Olympics
Sweden;Modern Pentathlon;1928 Summer Olympics;Men's Individual;Silver medal;Bo Lindman;1928 Summer Olympics
Soviet Union;Modern pentathlon;1964 Summer Olympics;Men's Individual;Bronze medal;Albert Mokeyev;1964 Summer Olympics
Italy;Swimming;1972 Summer Olympics;Women's 800 metre freestyle;Bronze medal;Novella Calligaris;1972 Summer Olympics
Guyana;Boxing;1980 Summer Olympics;Bantamweight;Bronze medal;Michael Anthony;1980 Summer Olympics
Norway;Canoeing;2000 Summer Olympics;Men's K-1 500 metres;Gold medal;Knut Holmann;2000 Summer Olympics
Austria;Cycling;2004 Summer Olympics;Men's individual road race;;Georg Totschnig;2004 Summer Olympics
Bulgaria;Wrestling;1972 Summer Olympics;Men's Freestyle Featherweight;Bronze medal;Ivan Krastev;1972 Summer Olympics
United States of America;Swimming;1968 Summer Olympics;Men's 100 metre butterfly;Bronze medal;Ross Elliott Wales;1968 Summer Olympics
Soviet Union;Swimming;1980 Summer Olympics;Men's 400 metre individual medley;Gold medal;Aleksandr Sidorenko;1980 Summer Olympics
United States of America;Gymnastics;1904 Summer Olympics;Men's club swinging;Bronze medal;Ralph Wilson;1904 Summer Olympics
Uganda;Boxing;1972 Summer Olympics;Flyweight;Silver medal;Leo Rwabwogo;1972 Summer Olympics
Denmark;Wrestling;1920 Summer Olympics;Men's Greco-Roman Light Heavyweight;Bronze medal;Johannes Eriksen;1920 Summer Olympics
United States of America;Swimming;1968 Summer Olympics;Men's 1500 metre freestyle;Silver medal;John Kinsella;1968 Summer Olympics
France;Athletics;1900 Summer Olympics;Men's 1500 metres;Silver medal;Henri Deloge;1900 Summer Olympics
United Kingdom;Swimming;1980 Summer Olympics;Women's 400 metre Individual Medley;Silver medal;Sharron Davies;1980 Summer Olympics
France;Cycling;2000 Summer Olympics;Men's cross-country;Gold medal;Miguel Martinez;2000 Summer Olympics
Hungary;Fencing;1928 Summer Olympics;Men's Sabre, Individual;Silver medal;Attila Petschauer;1928 Summer Olympics
China;Shooting;2004 Summer Olympics;Women's 50 metre rifle; three positions;Bronze medal;Chengyi Wang;2004 Summer Olympics
United States of America;Athletics;1908 Summer Olympics;Men's 400 metre hurdles;Silver medal;Harry Hillman;1908 Summer Olympics
United States of America;Athletics;1936 Summer Olympics;Men's decathlon;Silver medal;Robert Clark;1936 Summer Olympics
Netherlands;Swimming;1936 Summer Olympics;Women's 100 metre backstroke;Silver medal;Rie Mastenbroek;1936 Summer Olympics
Sweden;Equestrian;1924 Summer Olympics;Dressage, Individual;Gold medal;Ernst Linder;1924 Summer Olympics
German Democratic Republic;Canoeing;1980 Summer Olympics;Women's K-1 500 metres;Gold medal;Birgit Fischer;1980 Summer Olympics
Finland;Athletics;1924 Summer Olympics;Men's 10000 metres;Gold medal;Ville Ritola;1924 Summer Olympics
New Zealand;Rowing;2000 Summer Olympics;Men's  Single Sculls;Gold medal;Rob Waddell;2000 Summer Olympics
United Kingdom;Boxing;1948 Summer Olympics;Light Heavyweight;Silver medal;Donald Scott;1948 Summer Olympics
Latvia;Judo;2000 Summer Olympics;Men's Lightweight (73kg);Bronze medal;Vsevolods Ze?onijs;2000 Summer Olympics
Australia;Swimming;1972 Summer Olympics;Men's 400 metre freestyle;Gold medal;Brad Cooper;1972 Summer Olympics
German Democratic Republic;Swimming;1980 Summer Olympics;Women's 100 metre backstroke;Bronze medal;Petra Riedel;1980 Summer Olympics
Australasia;Swimming;1912 Summer Olympics;Women's 100 metre freestyle;Gold medal;Fanny Durack;1912 Summer Olympics
Sri Lanka;Athletics;1948 Summer Olympics;Men's 400 metre hurdles;Silver medal;Duncan White;1948 Summer Olympics
Brazil;Equestrian;2004 Summer Olympics;Jumping, Individual;Gold medal;Rodrigo Pessoa;2004 Summer Olympics
Japan;Shooting;1984 Summer Olympics;Men's 25 metre rapid fire pistol;Gold medal;Takeo Kamachi;1984 Summer Olympics
United States of America;Equestrian;1968 Summer Olympics;Jumping, Individual;Gold medal;William Steinkraus;1968 Summer Olympics
Norway;Ski Jumping;1948 Winter Olympics;Large Hill;Silver medal;Birger Ruud;1948 Winter Olympics
United States of America;Diving;1920 Summer Olympics;Women's 3 metre springboard;Bronze medal;Thelma Payne;1920 Summer Olympics
United States of America;Boxing;1920 Summer Olympics;Men's welterweight;Bronze medal;Frederick Colberg;1920 Summer Olympics
Japan;Gymnastics;1956 Summer Olympics;Men's Floor Exercises;Silver medal;Nobuyuki Aihara;1956 Summer Olympics
United States of America;Athletics;1920 Summer Olympics;Men's pole vault;Bronze medal;Edwin Myers;1920 Summer Olympics
United States of America;Athletics;1920 Summer Olympics;Men's 3000 metre steeplechase;Silver medal;Patrick Flynn;1920 Summer Olympics
United States of America;Athletics;1920 Summer Olympics;Men's 100 metres;Gold medal;Charlie Paddock;1920 Summer Olympics
United States of America;Athletics;1912 Summer Olympics;Men's 400 metres;Bronze medal;Edward Lindberg;1912 Summer Olympics
Austria;Ski jumping;2006 Winter Olympics;Large Hill;Silver medal;Andreas Kofler;2006 Winter Olympics
Sweden;Athletics;1912 Summer Olympics;Men's javelin throw;Gold medal;Eric Lemming;1912 Summer Olympics
United States of America;Ice hockey;2006 Winter Olympics;Women’s Team;Bronze medal;Julie Chu;2006 Winter Olympics
United States of America;Swimming;2004 Summer Olympics;Men's 200 metre freestyle;Bronze medal;Michael Phelps;2004 Summer Olympics
Australia;Swimming;1956 Summer Olympics;Women's 400 metre freestyle;Gold medal;Lorraine Crapp;1956 Summer Olympics
Australia;Swimming;1956 Summer Olympics;Women's 100 metre freestyle;Silver medal;Lorraine Crapp;1956 Summer Olympics
United States of America;Weightlifting;1956 Summer Olympics;Men's Light Heavyweight 75-82.5 kg;Gold medal;Tommy Kono;1956 Summer Olympics
West Germany;Swimming;1968 Summer Olympics;Men's 400 metre individual medley;Bronze medal;Michael Holthaus;1968 Summer Olympics
Soviet Union;Archery;1988 Summer Olympics;Men's individual;Bronze medal;Vladimir Yesheyev;1988 Summer Olympics
Soviet Union;Cycling;1988 Summer Olympics;Men's Individual Pursuit;Gold medal;Gintautas Umaras;1988 Summer Olympics
Australia;Swimming;2000 Summer Olympics;Men's 400 metre freestyle;Gold medal;Ian Thorpe;2000 Summer Olympics
Bulgaria;Wrestling;1980 Summer Olympics;Men's Freestyle Featherweight;Silver medal;Mikho Doukov;1980 Summer Olympics
Soviet Union;Shooting;1988 Summer Olympics;Men's 50 metre rifle; three positions;Bronze medal;Kirill Ivanov;1988 Summer Olympics
Hungary;Wrestling;1968 Summer Olympics;Men's Greco-Roman Heavyweight;Gold medal;István Kozma;1968 Summer Olympics
Japan;Gymnastics;1956 Summer Olympics;Men's artistic individual all-around;Silver medal;Takashi Ono;1956 Summer Olympics
Soviet Union;Athletics;1980 Summer Olympics;Women's Discus Throw;Bronze medal;Tatyana Lesovaya;1980 Summer Olympics
United States of America;Swimming;2004 Summer Olympics;Men's 100 metre breaststroke;Silver medal;Brendan Hansen;2004 Summer Olympics
Sweden;Shooting;1920 Summer Olympics;Men's 600 metre military rifle; prone;Gold medal;Hugo Johansson;1920 Summer Olympics
United Kingdom;Tennis;1900 Summer Olympics;Men's Singles;Gold medal;Lawrence Doherty;1900 Summer Olympics
Canada;Diving;2000 Summer Olympics;Women's 10 metre platform;Bronze medal;Anne Montminy;2000 Summer Olympics
Russia;Weightlifting;2004 Summer Olympics;Men's Heavyweight 94.105 kg;Bronze medal;Gleb Pisarevskiy;2004 Summer Olympics
United States of America;Swimming;2000 Summer Olympics;Women's 400 metre freestyle;Gold medal;Brooke Bennett;2000 Summer Olympics
Iceland;Judo;1984 Summer Olympics;Men's Half Heavyweight (95kg);Bronze medal;Bjarni Friðriksson;1984 Summer Olympics
United States of America;Swimming;1948 Summer Olympics;Men's 200 metre breaststroke;Silver medal;Keith Eyre Carter;1948 Summer Olympics
Austria;Swimming;1904 Summer Olympics;Men's 440 yard freestyle;Bronze medal;Otto Wahle;1904 Summer Olympics
Côte d’Ivoire;Athletics;1984 Summer Olympics;Men's 400 metres;Silver medal;Gabriel Tiacoh;1984 Summer Olympics
Soviet Union;Wrestling;1960 Summer Olympics;Men's Freestyle Featherweight;Bronze medal;Vladimir Rubashvili;1960 Summer Olympics
Japan;Volleyball;2000 Summer Olympics;Women's beach volleyball;;Rii Seike;Yuki Ishizaka;2000 Summer Olympics
;Athletics;2008 Summer Olympics;Men's high jump;;Rožle Prezelj;2008 Summer Olympics
China;Volleyball;1996 Summer Olympics;Women's volleyball;Silver medal;Lai Yawen;Liu Xiaoning;Wang Ziling;Zhu Yunying;Li Xan;Wang Lina;Pan Wenli;Yong-Mei Cui;Sun Yue;Qi He;Wang Yi;Wu Yongmei;1996 Summer Olympics
;Gymnastics;2008 Summer Olympics;Men's Horizontal Bar;;Hiroyuki Tomita;2008 Summer Olympics
;Athletics;2008 Summer Olympics;Men's high jump;;Tom Parsons;2008 Summer Olympics
Norway;Biathlon;1998 Winter Olympics;Men's 4 x 7.5 km relay;Silver medal;Egil Gjelland;Ole Einar Bjørndalen;Halvard Hanevold;Dag Bjørndalen;1998 Winter Olympics
Brazil;Volleyball;2000 Summer Olympics;Men's volleyball;;Nalbert Betancourt;Giba;Alexandre Samuel;Dante Amaral;Maurício Lima;Gustavo Endres;Max Pereira;Douglas Chiarotti;Marcelo Elgarten;Giovane Gavio;Gilmar Teixeira;André Heller;2000 Summer Olympics
United States of America;Swimming;2000 Summer Olympics;Women's 4x100 metre freestyle relay;Gold medal;Dara Torres;Amy Van Dyken;Courtney Shealy;Jenny Thompson;2000 Summer Olympics
Germany;Volleyball;2008 Summer Olympics;Men's beach volleyball;;Julius Brink;Christoph Dieckmann;2008 Summer Olympics
Japan;Volleyball;1996 Summer Olympics;Men's beach volleyball;;Shoji Setoyama;Kazuyuki Takao;1996 Summer Olympics
Spain;Volleyball;2004 Summer Olympics;Men's Beach Volleyball;Silver medal;Javier Bosma;Pablo Herrera;2004 Summer Olympics
Sweden;Cross-country skiing;2006 Winter Olympics;4 x 10 Km relay;Bronze medal;Anders Södergren;Johan Olsson;Mats Larsson;Mathias Fredriksson;2006 Winter Olympics
Russia;Volleyball;2000 Summer Olympics;Women's volleyball;Silver medal;Elizaveta Tichtchenko;Natalya Morozova;Evgenya Artamonova;Inessa Korkmaz;Elena Tyurina;Elena Godina;Olga Potachova;Lioubov Chachkova;Tatyana Gratcheva;Anastassia Belikova;Elena Vassilevskaya;Ekaterina Gamova;2000 Summer Olympics
Brazil;Volleyball;2004 Summer Olympics;Men's Beach Volleyball;;Benjamin Insfran;Marcio Araujo;2004 Summer Olympics
China;Gymnastics;2008 Summer Olympics;Men's pommel horse;Gold medal;Xiao Qin;2008 Summer Olympics
United States of America;Swimming;2008 Summer Olympics;Men's 4 x 100 metre medley relay;Gold medal;Aaron Peirsol;Brendan Hansen;Michael Phelps;Ian Crocker;Mark Gangloff;Garrett Weber-Gale;Jason Lezak;Matt Grevers;2008 Summer Olympics
Latvia;Weightlifting;2008 Summer Olympics;Men's Super Heavyweight +105 kg;Bronze medal;Viktors Š?erbatihs;2008 Summer Olympics
Great Britain;Athletics;2012 Summer Olympics;Women's heptathlon;Gold medal;Jessica Ennis;2012 Summer Olympics
Hungary;Swimming;2012 Summer Olympics;Men's 200 metre breaststroke;Gold medal;Dániel Gyurta;2012 Summer Olympics
Canada;Diving;2000 Summer Olympics;Women's synchronized 10 metre platform;Silver medal;Émilie Heymans;Anne Montminy;2000 Summer Olympics
Russia;Athletics;2008 Summer Olympics;Men's high jump;Gold medal;Andrey Silnov;2008 Summer Olympics
