athlete,country,olympics,sport
Robert David Webster,United States of America,1960 Summer Olympics,
Richard Carroll Conner,United States of America,1956 Summer Olympics,
Robert Haigh,Australia,,
Moss Christie,Australia,,
Danni Roche,Australia,,
Michael Grenda,Australia,,
Ian Millar,Canada,1972 Summer Olympics,Show jumping
Johanna Almgren,Sweden,2008 Summer Olympics,Football
Hanna Zajc,Sweden,2008 Summer Olympics,Taekwondo
Irene MacDonald,Canada,1956 Summer Olympics,
Martin Tešovi?,Slovakia,2008 Summer Olympics,Weightlifting
Heike Fischer,Germany,2008 Summer Olympics,Diving
Timothy Berrett,Canada,2008 Summer Olympics,Track and field athletics
Melissa Tancredi,Canada,2008 Summer Olympics,Football
Connor Grimes,Canada,2008 Summer Olympics,Field hockey
Trent McClenahan,Australia,2008 Summer Olympics,Football
Leith Brodie,Australia,2008 Summer Olympics,Swimming
Ram?nas Šiškauskas,Lithuania,2000 Summer Olympics,Basketball
Michael Redd,United States of America,2008 Summer Olympics,Basketball
Melanie  Roach,United States of America,2008 Summer Olympics,Weightlifting
Dustin Jonas,United States of America,2008 Summer Olympics,Track and field athletics
Milena Duchková,Czechoslovakia,1972 Summer Olympics,
Vladimir Vasin,Soviet Union,1972 Summer Olympics,
Laura Ludwig,Germany,2008 Summer Olympics,Beach volleyball
Brita Baldus,Germany,1992 Summer Olympics,
Tiffany Ross-Williams,United States of America,2008 Summer Olympics,Track and field athletics
Juan Botella,Mexico,1960 Summer Olympics,Diving
Velma Dunn,United States of America,1936 Summer Olympics,
Sally Barkow,United States of America,2008 Summer Olympics,Sailing
Steve Mocco,United States of America,2008 Summer Olympics,Freestyle wrestling
Pierre Browne,Canada,2008 Summer Olympics,Track and field athletics
Trisha Fallon,Australia,,
Wyatt Allen,United States of America,2008 Summer Olympics,Rowing
Gintaras Krapikas,Lithuania,,
Samantha Reid,Australia,2008 Summer Olympics,Synchronized swimming
Gabriella Fagundez,Sweden,2008 Summer Olympics,Swimming
Alexandra Komarnycky,Canada,2008 Summer Olympics,Swimming
Stephanie Cox,United States of America,2008 Summer Olympics,Football
Matthew Emmons,United States of America,2008 Summer Olympics,Shooting sports
Khatuna Lorig,United States of America,2008 Summer Olympics,Archery
Nathaniel Miller,Canada,2008 Summer Olympics,Water polo
Joy Fawcett,United States of America,2000 Summer Olympics,Football
Jennifer Yee,Canada,2008 Summer Olympics,Softball
Angie Bainbridge,Australia,2008 Summer Olympics,Swimming
Augusto Midana,Guinea-Bissau,2008 Summer Olympics,Freestyle wrestling
Johan Sauer,Canada,2008 Summer Olympics,Shooting sports
Jalmar Sjöberg,Sweden,2008 Summer Olympics,Greco-Roman wrestling
Jin Jong-Oh,South Korea,2004 Summer Olympics,Shooting sports
Yoon Jin-Hee,South Korea,2008 Summer Olympics,Weightlifting
Kim St-Pierre,Canada,2010 Winter Olympics,Ice Hockey
Hyun-Jung Joo,South Korea,2008 Summer Olympics,Archery
Paola Suárez,Argentina,2004 Summer Olympics,Tennis
Abhinav Bindra,India,2008 Summer Olympics,Shooting sports
Jackeline Rentería,Colombia,2008 Summer Olympics,Freestyle wrestling
Bair Badënov,Russia,2008 Summer Olympics,Archery
Viktors Š?erbatihs,Latvia,2008 Summer Olympics,Weightlifting
Sandra Izbasa,Romania,2008 Summer Olympics,Artistic gymnastics
Seyedmorad Mohammadi,Iran,2008 Summer Olympics,Freestyle wrestling
Erinn Smart,United States of America,2008 Summer Olympics,Fencing
Khasan Baroev,Russia,2008 Summer Olympics,Greco-Roman wrestling
Ralph Metcalfe,United States of America,1936 Summer Olympics,Track and field athletics
Hrysopiyí Devetzí,Greece,2004 Summer Olympics,Track and field athletics
Ekaterina Karsten,Belarus,1996 Summer Olympics,Rowing
Richard Ducroz,France,2010 Winter Olympics,Curling
Maciej Ustynowicz,Poland,2010 Winter Olympics,Speed skating
Madara Liduma,Latvia,2010 Winter Olympics,Biathlon
Eva-Maria Brem,Austria,2010 Winter Olympics,Alpine skiing
Nina Reithmayer,Austria,2010 Winter Olympics,Luge
Renate Groenewold,Netherlands,2010 Winter Olympics,Speed skating
Timo Antila,Finland,2010 Winter Olympics,Biathlon
Chloe  Georges,France,2010 Winter Olympics,Freestyle skiing
Liang Wenhao,China,2010 Winter Olympics,Short track speed skating
Brett Camerota,United States of America,2010 Winter Olympics,Nordic combined
Anna Bogaliy-Titovets,Russia,2010 Winter Olympics,Biathlon
Evgeny Abramenko,Belarus,2010 Winter Olympics,Biathlon
Marie Dorin,France,2010 Winter Olympics,Biathlon
Linda Välimäki,Finland,2010 Winter Olympics,Ice Hockey
Regina Mader,Austria,2010 Winter Olympics,Alpine skiing
Horace Johnson,England,1920 Summer Olympics,Cycling
Ludmila Privivkova,Russia,2010 Winter Olympics,Curling
Milos Savic,Serbia,2010 Winter Olympics,Bobsleigh
Marcelo Arriagada,Chile,2004 Summer Olympics,Road cycling
Steve Redgrave,United Kingdom,1984 Summer Olympics,Rowing
Dijana Ravnikar,Slovenia,2010 Winter Olympics,Biathlon
Maelle Ricker,Canada,2010 Winter Olympics,Snowboarding
Steven Nyman,United States of America,2010 Winter Olympics,Alpine skiing
Ben Griffin,New Zealand,2010 Winter Olympics,Alpine skiing
Maria Belen Simari Birkner,Argentina,2010 Winter Olympics,Alpine skiing
Michaela Matejova,Slovakia,2010 Winter Olympics,Ice Hockey
Khash-Erdene Khurelbataar,Mongolia,2010 Winter Olympics,Cross-country skiing
Mihaela Chiras,Romania,2010 Winter Olympics,Luge
Erik Johnson,United States of America,2010 Winter Olympics,Ice Hockey
Sergei Maitakov,Russia,2010 Winter Olympics,Alpine skiing
Bengt Walden,United States of America,2010 Winter Olympics,Luge
Svetlana Terenteva,Russia,2010 Winter Olympics,Ice Hockey
Simon Cho,United States of America,2010 Winter Olympics,Short track speed skating
Ville Peltonen,Finland,2010 Winter Olympics,Ice Hockey
Heather McPhie,United States of America,2010 Winter Olympics,Freestyle skiing
Svetlana Sleptsova,Russia,2010 Winter Olympics,Biathlon
Jeong Gyeongmi,South Korea,2008 Summer Olympics,Judo
Dmitriy Karpov,Kazakhstan,2004 Summer Olympics,Track and field athletics
Lucious Jackson,United States of America,1964 Summer Olympics,Basketball
Nikita Lobintsev,Russia,2008 Summer Olympics,Swimming
Alexander Grimm,Germany,2008 Summer Olympics,Canoe Slalom
Julien Pillet,France,2008 Summer Olympics,Fencing
Svetlana Feofanova,Russia,2008 Summer Olympics,Track and field athletics
Hrysopiyí Devetzí,Greece,2008 Summer Olympics,Track and field athletics
Giovanni Pellielo,Italy,2004 Summer Olympics,Shooting sports
Scott Fortune,United States of America,1992 Summer Olympics,Volleyball
Anders Johnson,United States of America,2006 Winter Olympics,Ski jumping
Christine Boudrias,Canada,1994 Winter Olympics,Short track speed skating
Nicola Rodigari,Italy,2006 Winter Olympics,Short track speed skating
Casey  Puckett,United States of America,1994 Winter Olympics,Alpine skiing
Shiho Nakashima,Japan,2006 Winter Olympics,Snowboarding
Angela Ruggiero,United States of America,2006 Winter Olympics,Ice Hockey
Scott Gomez,United States of America,2006 Winter Olympics,Ice Hockey
Christoph Schubert,Germany,2006 Winter Olympics,Ice Hockey
Kim Hyun-Ki,South Korea,1998 Winter Olympics,Ski jumping
George O'Day,United States of America,1960 Summer Olympics,Sailing
Patrick Jonker,,1992 Summer Olympics,Cycling
Igor González de Galdeano,Spain,2004 Summer Olympics,Cycling
Harry Lodge,,1988 Summer Olympics,Cycling
Peter Vonhof,,1976 Summer Olympics,Cycling
Edi Ziegler,,1952 Summer Olympics,Cycling
Ian Browne,,1956 Summer Olympics,Cycling
Preben Esaksson,,1964 Summer Olympics,Cycling
Caroline Alexander,,2000 Summer Olympics,Cycling
Michael Greis,Germany,2006 Winter Olympics,Biathlon
Mats Larsson,Sweden,2006 Winter Olympics,Cross-country skiing
Louis Trousselier,France,1900 Summer Olympics,Cycling
Mark Grimmette,United States of America,1998 Winter Olympics,Luge
John Allis,,1968 Summer Olympics,Cycling
Dino Bruni,,1952 Summer Olympics,Cycling
Kristin Armstrong,United States of America,2004 Summer Olympics,Road cycling
Nikola Nimac,Croatia,2006 Winter Olympics,Skeleton
Kristin Størmer Steira,Norway,2006 Winter Olympics,Cross-country skiing
Miguel Martinez,,2000 Summer Olympics,Cycling
Michael Haas,Germany,2008 Summer Olympics,Team handball
Mia Hamm,United States of America,2004 Summer Olympics,Football
Kenenisa Bekele,Ethiopia,2008 Summer Olympics,Track and field athletics
Douglas Partie,United States of America,1992 Summer Olympics,Volleyball
Lin Dan,China,2008 Summer Olympics,Badminton
Svetlana Feofanova,Russia,2004 Summer Olympics,Track and field athletics
Fernanda Oliveira,Brazil,2008 Summer Olympics,Sailing
Ellie Faulkner,United Kingdom,2012 Summer Olympics,Swimming
Andranik Hakobyan,Armenia,2012 Summer Olympics,Boxing
Thierry Omeyer,France,2012 Summer Olympics,Team handball
Ilya Korotkov,Russia,2012 Summer Olympics,Track and field athletics
Marie-Pier Beaudet,Canada,2012 Summer Olympics,Archery
Sergio Sanchez,Guatemala,2012 Summer Olympics,Shooting sports
Keli Smith Puzo,United States of America,2012 Summer Olympics,Field hockey
Alexander López,Honduras,2012 Summer Olympics,Football
Valentina Vezzali,Italy,2012 Summer Olympics,Fencing
Omar Simmonds,Panama,2012 Summer Olympics,Judo
Richard Schuil,Netherlands,2012 Summer Olympics,Beach volleyball
Niccolò Ferrari,Italy,2012 Summer Olympics,Canoe Slalom
Royston Drenthe,Netherlands,2008 Summer Olympics,Football
,Argentina,2012 Summer Olympics,Cycling
Dailenys Alcántara,Cuba,2012 Summer Olympics,Track and field athletics
Faustine Mussa,Tanzania,2012 Summer Olympics,Road running
Mujinga Kambundji,Switzerland,2012 Summer Olympics,Track and field athletics
Guram Pherselidze,Georgia,2012 Summer Olympics,Greco-Roman wrestling
Brandi Jacobson Prentice,Canada,2012 Summer Olympics,
Hansle Parchment,Jamaica,2012 Summer Olympics,Track and field athletics
Sylwia Bogacka,Poland,2012 Summer Olympics,Shooting sports
Vitaly Fridzon,Russia,2012 Summer Olympics,Basketball
Schillonie Calvert,Jamaica,2012 Summer Olympics,Track and field athletics
Óscar Molina,Mexico,2012 Summer Olympics,Boxing
Richard Weinberger,Canada,2012 Summer Olympics,Swimming
Krists Straume,Latvia,2012 Summer Olympics,Canoe Sprint
Yelena Vystropova,Azerbaijan,2012 Summer Olympics,Boxing
,Finland,2012 Summer Olympics,Beach volleyball
Sarah Wells,Canada,2012 Summer Olympics,Track and field athletics
Tian Liang,China,2012 Summer Olympics,Rowing
Ahmet Akdilek,Turkey,2012 Summer Olympics,Road cycling
Caryn Davies,United States of America,2012 Summer Olympics,Rowing
Laura Salminen,Finland,2012 Summer Olympics,Modern pentathlon
Marcel Marcilloux,France,2012 Summer Olympics,Fencing
Sergio Luis Henao,Colombia,2012 Summer Olympics,Road cycling
Choi Ki Ho,Hong Kong,2012 Summer Olympics,"Mountain biking,Road cycling,Track cycling"
Byron Guama,Ecuador,2012 Summer Olympics,Road cycling
Dianelys Perez,Cuba,2012 Summer Olympics,Shooting sports
Marc Willers,New Zealand,2012 Summer Olympics,BMX racing
James Espey,Ireland,2012 Summer Olympics,Sailing
Viola Kibiwot,Kenya,2012 Summer Olympics,Track and field athletics
Janine Berger,Germany,2012 Summer Olympics,Artistic gymnastics
Robyn de Groot,South Africa,2012 Summer Olympics,Road cycling
Jessica Steffens,United States of America,2012 Summer Olympics,Water polo
Mayra Aguiar,Brazil,2012 Summer Olympics,Judo
Kirill Denisov,Russia,2012 Summer Olympics,Judo
Denis Kaliberda,Germany,2012 Summer Olympics,Volleyball
Dieudonne Dolassem,Cameroon,2012 Summer Olympics,Judo
Fang Yuting,China,2012 Summer Olympics,Archery
Maximiliano Richeze,Argentina,2012 Summer Olympics,"Track cycling,Road cycling"
Nick Willis,New Zealand,2012 Summer Olympics,Track and field athletics
Daulet Shabanbay,Kazakhstan,2012 Summer Olympics,Freestyle wrestling
Mariya Liver,Ukraine,2012 Summer Olympics,Swimming
Artem Khadjibekov,Russia,2012 Summer Olympics,Shooting sports
Evelyn dos Santos,Brazil,2012 Summer Olympics,Track and field athletics
Liviu Dumitrescu-Lazar,Romania,2012 Summer Olympics,Canoe Sprint
Shaun Dhillion,Canada,2012 Summer Olympics,
Tirunesh Dibaba,Ethiopia,2012 Summer Olympics,Track and field athletics
Karin Mortensen,Denmark,2012 Summer Olympics,Team handball
Guo Shuang,China,2012 Summer Olympics,Track cycling
Federico Pizarro,Argentina,2012 Summer Olympics,Team handball
Pang Jiaying,China,2012 Summer Olympics,Swimming
Tatyana Lebedeva,Russia,2012 Summer Olympics,Track and field athletics
Petar Muslim,Croatia,2012 Summer Olympics,Water polo
Ryo Yamamoto,Japan,2012 Summer Olympics,Road running
Andrea Foglia Costa,Uruguay,2012 Summer Olympics,Sailing
Irina Begu,Romania,2012 Summer Olympics,Tennis
Víctor Sada,Spain,2012 Summer Olympics,Basketball
Ksenia Dudkina,Russia,2012 Summer Olympics,Rhythmic gymnastics
Ekaterina Timofeyeva,Belarus,2012 Summer Olympics,Archery
Ahmed El-Shenawy,Egypt,2012 Summer Olympics,Football
Lee Beom-Young,South Korea,2012 Summer Olympics,Football
Matti Mattsson,Finland,2012 Summer Olympics,Swimming
Joanna Rowsell,United Kingdom,2012 Summer Olympics,Track cycling
Gonzalo Peillat,Argentina,2012 Summer Olympics,Field hockey
Hannah Every-Hall,Australia,2012 Summer Olympics,Rowing
le Quoc Toan Tran,Vietnam,2012 Summer Olympics,Weightlifting
Jared Tallent,Australia,2012 Summer Olympics,Race walking
Mariangela Perrupato,Italy,2012 Summer Olympics,Synchronized swimming
Spyridon Gianniotis,Greece,2012 Summer Olympics,Swimming
Jeffrey Hunt,Australia,2012 Summer Olympics,Track and field athletics
Martin Hollstein,Germany,2012 Summer Olympics,Canoe Sprint
Sam Hazewinkel,United States of America,2012 Summer Olympics,Freestyle wrestling
Kim Chang-Soo,South Korea,2012 Summer Olympics,Football
Cheng Wen,China,2012 Summer Olympics,Track and field athletics
Issam Tej,Tunisia,2012 Summer Olympics,Team handball
Julián Sánchez,Mexico,2012 Summer Olympics,Diving
Kathleen Macleod,Australia,2012 Summer Olympics,Basketball
Kenrick Monk,Australia,2012 Summer Olympics,Swimming
Mohammad Bagheri,Iran,2012 Summer Olympics,Taekwondo
Alex Quinonez,Ecuador,2012 Summer Olympics,Track and field athletics
Aiga Grabuste,Latvia,2012 Summer Olympics,Track and field athletics
Antonio Ciano,Italy,2012 Summer Olympics,Judo
Hernán Jasen,Argentina,2012 Summer Olympics,Basketball
Lucy Jaramillo,Ecuador,2012 Summer Olympics,Track and field athletics
Ioannis Drymonakos,Greece,2012 Summer Olympics,Swimming
Eran Sela,Israel,2012 Summer Olympics,Sailing
Steve Guerdat,Switzerland,2012 Summer Olympics,Show jumping
Ioana Rotaru,Romania,2012 Summer Olympics,Rowing
Yulianna Zhalniaruk,Belarus,2012 Summer Olympics,Track and field athletics
Stephane Christidis,France,2012 Summer Olympics,Sailing
Gojko Pijetlovi?,Serbia,2012 Summer Olympics,Water polo
Tu?çe ?ahuto?lu,Turkey,2012 Summer Olympics,Track and field athletics
Jang Soo Ji,South Korea,2012 Summer Olympics,Field hockey
Hugues Fournel,Canada,2012 Summer Olympics,Canoe Sprint
Sven Knipphals,Germany,2012 Summer Olympics,Track and field athletics
,Montenegro,2012 Summer Olympics,Swimming
Danielle Lopez,Canada,2012 Summer Olympics,
Timo Boll,Germany,2012 Summer Olympics,Table tennis
Natalya Nazarova,Russia,2012 Summer Olympics,Track and field athletics
Emilia Fahlin,Sweden,2012 Summer Olympics,Road cycling
Roberta Bianconi,Italy,2012 Summer Olympics,Water polo
Sara Bertolasi,Italy,2012 Summer Olympics,Rowing
Martina Emanuel,United Kingdom,2012 Summer Olympics,Fencing
Gulnara Samitova,Russia,2012 Summer Olympics,Track and field athletics
Lyn Byl,United Kingdom,2012 Summer Olympics,Team handball
Renato Rezende,Brazil,2012 Summer Olympics,BMX racing
Maaike Caelers,Netherlands,2012 Summer Olympics,Triathlon
Paulette Zang-Milama,Gabon,2012 Summer Olympics,Track and field athletics
Oludamola Osayomi,Nigeria,2012 Summer Olympics,Track and field athletics
Yerkebulan Kossayev,Kazakhstan,2012 Summer Olympics,Judo
Julen Aguinagalde,Spain,2012 Summer Olympics,Team handball
Georgina Geikie,United Kingdom,2012 Summer Olympics,Shooting sports
Siril Helljesen,Norway,2012 Summer Olympics,Dressage
Aliya Garayeva,Azerbaijan,2012 Summer Olympics,Rhythmic gymnastics
Elisa Rigaudo,Italy,2012 Summer Olympics,Race walking
Irene Montrucchio,Spain,2012 Summer Olympics,Synchronized swimming
Andja Jelavic,Croatia,2012 Summer Olympics,Basketball
Kamila So?ko,Poland,2012 Summer Olympics,Rowing
Evgeni Orlov,Ukraine,2012 Summer Olympics,Greco-Roman wrestling
Alexandru Siriteanu,Romania,2012 Summer Olympics,Fencing
Jehue Gordon,Trinidad and Tobago,2012 Summer Olympics,Track and field athletics
Aurelie Halbwachs,Mauritius,2012 Summer Olympics,Road cycling
Ryan Cochrane,Canada,2012 Summer Olympics,Swimming
Chay Lapin,United States of America,2012 Summer Olympics,Water polo
Omar Pinzón,Colombia,2012 Summer Olympics,Swimming
Ond?ej Cink,Czech Republic,2012 Summer Olympics,Mountain biking
,Togo,2012 Summer Olympics,Taekwondo
Valeria Maksyuta,Israel,2012 Summer Olympics,
Nicola Zagame,Australia,2012 Summer Olympics,Water polo
Verónica Cuadrado,Spain,2012 Summer Olympics,Team handball
Lenka Hykova,Czech Republic,2012 Summer Olympics,Shooting sports
Cheng Shao-Chieh,Taiwan,2012 Summer Olympics,Badminton
Austin Smith,South Africa,2012 Summer Olympics,Field hockey
Daina Gudzinevi?i?t?,Lithuania,2012 Summer Olympics,Shooting sports
Moshad Alamiyan,Iran,2012 Summer Olympics,Table tennis
Toby Ng,Canada,2012 Summer Olympics,Badminton
Natalia Duco,Chile,2012 Summer Olympics,Track and field athletics
Jennifer Pinches,United Kingdom,2012 Summer Olympics,Artistic gymnastics
Sin Chol-Bom,North Korea,2012 Summer Olympics,Weightlifting
Christophe Guenot,France,2012 Summer Olympics,Greco-Roman wrestling
Karin Donckers,Belgium,2012 Summer Olympics,Eventing
Laura Robson,United Kingdom,2012 Summer Olympics,Tennis
,Norway,2012 Summer Olympics,Freestyle wrestling
Peter López,Peru,2012 Summer Olympics,Taekwondo
Harald Ambros,Austria,2012 Summer Olympics,Eventing
Arezoo Hakimi,Iran,2012 Summer Olympics,
Peter Wilson,United Kingdom,2012 Summer Olympics,Shooting sports
Igor Tikhomirov,Canada,2012 Summer Olympics,Fencing
Ruben Lopez,Spain,2012 Summer Olympics,Artistic gymnastics
Alin Alexuc,Romania,2012 Summer Olympics,Greco-Roman wrestling
Sofya  Ochigava,Russia,2012 Summer Olympics,Boxing
Tetteh Sulemanu,Ghana,2012 Summer Olympics,Boxing
Rory Warlow,United Kingdom,2012 Summer Olympics,Shooting sports
Nery Mantey Niangkouara,Greece,2012 Summer Olympics,Swimming
Stephanie Proud,United Kingdom,2012 Summer Olympics,Swimming
Dean Couzins,New Zealand,2012 Summer Olympics,Field hockey
Hana Klapalová,Czech Republic,2012 Summer Olympics,Beach volleyball
Valeria Sorokina,Russia,2012 Summer Olympics,Badminton
Leah Mariem Lorraine Callahan,Canada,2012 Summer Olympics,Freestyle wrestling
Jaromír Ježek,Czech Republic,2012 Summer Olympics,Judo
Esthera Petre,Romania,2012 Summer Olympics,Track and field athletics
László Nagy,Hungary,2012 Summer Olympics,Team handball
Isabelle Yacoubou,France,2012 Summer Olympics,Basketball
Jiang Kelu,China,2012 Summer Olympics,Fencing
Sadio Mané,Senegal,2012 Summer Olympics,Football
Anu Nieminen,Finland,2012 Summer Olympics,Badminton
Daniel Michan Halbinger,Mexico,2012 Summer Olympics,Equestrian vaulting
Anton Zakharov,Ukraine,2012 Summer Olympics,Diving
